Team,Sprint,Committed,Completed,Added,Removed,TeamAvailability,Duration,Spillover,Dependencies
Portfolio Insights,PortfolioI-001,38,32,8,2,88,14,true,3
Portfolio Insights,PortfolioI-002,42,36,6,1,90,7,false,2
Portfolio Insights,PortfolioI-003,28,24,7,1,86,14,true,2
Portfolio Insights,PortfolioI-004,45,38,9,2,91,14,false,3
Portfolio Insights,PortfolioI-005,33,28,8,2,87,14,true,2
Portfolio Insights,PortfolioI-006,40,34,7,1,89,7,false,2
Portfolio Insights,PortfolioI-007,35,30,9,2,88,14,true,3
Portfolio Insights,PortfolioI-008,44,37,6,1,92,14,false,2
Portfolio Insights,PortfolioI-009,29,24,8,2,86,14,true,2
Portfolio Insights,PortfolioI-010,41,35,7,1,90,7,false,2
Portfolio Insights,PortfolioI-011,37,31,9,2,89,14,true,3
Portfolio Insights,PortfolioI-012,43,36,6,1,91,14,false,2
Portfolio Insights,PortfolioI-013,31,26,8,2,87,14,true,2
Portfolio Insights,PortfolioI-014,46,39,7,1,92,14,false,3
Portfolio Insights,PortfolioI-015,34,29,9,2,88,7,true,2
Portfolio Insights,PortfolioI-016,39,33,6,1,90,14,false,2
Portfolio Insights,PortfolioI-017,36,30,8,2,89,14,true,3
Portfolio Insights,PortfolioI-018,42,35,7,1,91,14,false,2
Portfolio Insights,PortfolioI-019,30,25,9,2,87,14,true,2
Portfolio Insights,PortfolioI-020,44,37,6,1,92,7,false,3
Portfolio Insights,PortfolioI-021,38,32,8,2,88,14,true,2
Portfolio Insights,PortfolioI-022,41,34,7,1,90,14,false,2
Portfolio Insights,PortfolioI-023,35,29,9,2,89,14,true,3
Portfolio Insights,PortfolioI-024,43,36,6,1,91,14,false,2
Portfolio Insights,PortfolioI-025,28,23,8,2,86,14,true,2
Portfolio Insights,PortfolioI-026,47,40,7,1,92,7,false,3
Portfolio Insights,PortfolioI-027,36,30,9,2,88,14,true,2
Portfolio Insights,PortfolioI-028,40,33,6,1,90,14,false,2
Portfolio Insights,PortfolioI-029,33,28,8,2,87,14,true,2
Portfolio Insights,PortfolioI-030,45,38,7,1,91,14,false,3
