Team,Sprint,Committed,Completed,Added,Removed,TeamAvailability,Duration,Spillover,Dependencies
Property Insights,PI-001,32,30,3,1,92,14,false,2
Property Insights,PI-002,38,36,2,1,93,7,false,1
Property Insights,PI-003,26,25,3,0,91,14,false,1
Property Insights,PI-004,40,38,2,1,94,14,false,2
Property Insights,PI-005,35,33,3,1,92,14,false,1
Property Insights,PI-006,38,36,2,0,95,7,false,2
Property Insights,PI-007,29,28,2,1,93,14,false,1
Property Insights,PI-008,42,40,3,1,91,14,false,2
Property Insights,PI-009,33,31,2,0,94,14,false,1
Property Insights,PI-010,39,37,3,1,92,7,false,2
Property Insights,PI-011,36,34,2,1,93,14,false,1
Property Insights,PI-012,40,38,2,0,95,14,false,2
Property Insights,PI-013,27,26,3,1,91,14,false,1
Property Insights,PI-014,41,39,2,1,93,7,false,2
Property Insights,PI-015,34,32,3,1,92,14,false,1
Property Insights,PI-016,38,36,2,0,94,14,false,2
Property Insights,PI-017,31,29,3,1,93,14,false,1
Property Insights,PI-018,42,40,2,1,91,14,false,2
Property Insights,PI-019,37,35,3,1,94,7,false,2
Property Insights,PI-020,39,37,2,0,92,14,false,1
Property Insights,PI-021,28,26,3,1,95,14,false,1
Property Insights,PI-022,41,39,2,1,93,14,false,2
Property Insights,PI-023,35,33,3,0,91,14,false,1
Property Insights,PI-024,40,38,2,1,94,7,false,2
Property Insights,PI-025,32,30,3,1,92,14,false,1
Property Insights,PI-026,38,36,2,0,95,14,false,2
Property Insights,PI-027,27,25,3,1,93,14,false,1
Property Insights,PI-028,42,40,2,1,91,14,false,2
Property Insights,PI-029,36,34,3,1,94,14,false,1
Property Insights,PI-030,39,37,2,0,92,7,false,2
