"Team","Sprint","Committed","Completed","Added","Removed","TeamAvailability","Duration","Spillover","Dependencies"
"RDA (Rapid Damage Assessment)","RDA-001","34","31","3","4","95","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-002","36","32","4","5","100","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-003","38","36","5","6","90","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-004","40","37","6","7","95","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-005","42","38","2","8","100","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-006","44","42","3","3","90","7","false","2"
"RDA (Rapid Damage Assessment)","RDA-007","46","43","4","4","95","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-008","32","28","5","5","100","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-009","34","32","6","6","90","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-010","36","33","2","7","95","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-011","38","34","3","8","100","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-012","40","38","4","3","90","7","true","0"
"RDA (Rapid Damage Assessment)","RDA-013","42","39","5","4","95","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-014","44","40","6","5","100","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-015","46","44","2","6","90","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-016","32","29","3","7","95","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-017","34","30","4","8","100","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-018","36","34","5","3","90","7","false","2"
"RDA (Rapid Damage Assessment)","RDA-019","38","35","6","4","95","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-020","40","36","2","5","100","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-021","42","40","3","6","90","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-022","44","41","4","7","95","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-023","46","42","5","8","100","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-024","32","30","6","3","90","7","true","0"
"RDA (Rapid Damage Assessment)","RDA-025","34","31","2","4","95","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-026","36","32","3","5","100","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-027","38","36","4","6","90","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-028","40","37","5","7","95","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-029","42","38","6","8","100","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-030","44","42","2","3","90","7","false","2"
"RDA (Rapid Damage Assessment)","RDA-031","46","43","3","4","95","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-032","32","28","4","5","100","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-033","34","32","5","6","90","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-034","36","33","6","7","95","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-035","38","34","2","8","100","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-036","40","38","3","3","90","7","true","0"
"RDA (Rapid Damage Assessment)","RDA-037","42","39","4","4","95","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-038","44","40","5","5","100","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-039","46","44","6","6","90","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-040","32","29","2","7","95","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-041","34","30","3","8","100","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-042","36","34","4","3","90","7","false","2"
"RDA (Rapid Damage Assessment)","RDA-043","38","35","5","4","95","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-044","40","36","6","5","100","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-045","42","40","2","6","90","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-046","44","41","3","7","95","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-047","46","42","4","8","100","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-048","32","30","5","3","90","7","true","0"
"RDA (Rapid Damage Assessment)","RDA-049","34","31","6","4","95","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-050","36","32","2","5","100","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-051","38","36","3","6","90","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-052","40","37","4","7","95","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-053","42","38","5","8","100","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-054","44","42","6","3","90","7","false","2"
"RDA (Rapid Damage Assessment)","RDA-055","46","43","2","4","95","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-056","32","28","3","5","100","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-057","34","32","4","6","90","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-058","36","33","5","7","95","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-059","38","34","6","8","100","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-060","40","38","2","3","90","7","true","0"
"RDA (Rapid Damage Assessment)","RDA-061","42","39","3","4","95","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-062","44","40","4","5","100","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-063","46","44","5","6","90","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-064","32","29","6","7","95","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-065","34","30","2","8","100","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-066","36","34","3","3","90","7","false","2"
"RDA (Rapid Damage Assessment)","RDA-067","38","35","4","4","95","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-068","40","36","5","5","100","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-069","42","40","6","6","90","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-070","44","41","2","7","95","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-071","46","42","3","8","100","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-072","32","30","4","3","90","7","true","0"
"RDA (Rapid Damage Assessment)","RDA-073","34","31","5","4","95","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-074","36","32","6","5","100","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-075","38","36","2","6","90","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-076","40","37","3","7","95","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-077","42","38","4","8","100","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-078","44","42","5","3","90","7","false","2"
"RDA (Rapid Damage Assessment)","RDA-079","46","43","6","4","95","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-080","32","28","2","5","100","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-081","34","32","3","6","90","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-082","36","33","4","7","95","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-083","38","34","5","8","100","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-084","40","38","6","3","90","7","true","0"
"RDA (Rapid Damage Assessment)","RDA-085","42","39","2","4","95","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-086","44","40","3","5","100","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-087","46","44","4","6","90","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-088","32","29","5","7","95","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-089","34","30","6","8","100","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-090","36","34","2","3","90","7","false","2"
"RDA (Rapid Damage Assessment)","RDA-091","38","35","3","4","95","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-092","40","36","4","5","100","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-093","42","40","5","6","90","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-094","44","41","6","7","95","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-095","46","42","2","8","100","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-096","32","30","3","3","90","7","true","0"
"RDA (Rapid Damage Assessment)","RDA-097","34","31","4","4","95","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-098","36","32","5","5","100","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-099","38","36","6","6","90","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-100","40","37","2","7","95","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-101","42","38","3","8","100","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-102","44","42","4","3","90","7","false","2"
"RDA (Rapid Damage Assessment)","RDA-103","46","43","5","4","95","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-104","32","28","6","5","100","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-105","34","32","2","6","90","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-106","36","33","3","7","95","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-107","38","34","4","8","100","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-108","40","38","5","3","90","7","true","0"
"RDA (Rapid Damage Assessment)","RDA-109","42","39","6","4","95","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-110","44","40","2","5","100","14","false","2"
"RDA (Rapid Damage Assessment)","RDA-111","46","44","3","6","90","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-112","32","29","4","7","95","14","false","0"
"RDA (Rapid Damage Assessment)","RDA-113","34","30","5","8","100","14","false","1"
"RDA (Rapid Damage Assessment)","RDA-114","36","34","6","3","90","7","false","2"
"RDA (Rapid Damage Assessment)","RDA-115","38","35","2","4","95","14","false","3"
"RDA (Rapid Damage Assessment)","RDA-116","40","36","3","5","100","14","false","0"
