Team,Sprint,Committed,Completed,Added,Removed,TeamAvailability,Duration,Spillover,Dependencies
catnet,catnet-001,35,32,2,1,94,14,false,2
catnet,catnet-002,42,40,1,0,95,7,false,1
catnet,catnet-003,28,27,3,1,92,14,false,2
catnet,catnet-004,45,44,2,1,96,14,false,1
catnet,catnet-005,32,31,2,0,94,14,false,2
catnet,catnet-006,38,37,1,1,95,7,false,1
catnet,catnet-007,41,40,2,1,94,14,false,2
catnet,catnet-008,26,25,2,0,96,14,false,1
catnet,catnet-009,44,43,3,1,93,14,false,2
catnet,catnet-010,36,35,1,0,95,7,false,1
catnet,catnet-011,39,38,2,1,94,14,false,2
catnet,catnet-012,43,42,1,0,96,14,false,1
catnet,catnet-013,30,29,3,1,93,14,false,2
catnet,catnet-014,46,45,2,1,95,7,false,2
catnet,catnet-015,33,32,2,0,94,14,false,1
catnet,catnet-016,40,39,1,1,96,14,false,1
catnet,catnet-017,37,36,3,1,94,14,false,2
catnet,catnet-018,44,43,2,0,95,7,false,1
catnet,catnet-019,27,26,2,1,96,14,false,1
catnet,catnet-020,42,41,1,0,94,14,false,2
catnet,catnet-021,35,34,3,1,95,14,false,1
catnet,catnet-022,38,37,2,1,94,7,false,2
catnet,catnet-023,41,40,1,0,96,14,false,1
catnet,catnet-024,29,28,2,1,93,14,false,2
catnet,catnet-025,43,42,3,1,94,14,false,1
catnet,catnet-026,31,30,2,0,95,7,false,2
catnet,catnet-027,39,38,1,1,96,14,false,1
catnet,catnet-028,44,43,2,0,94,14,false,2
catnet,catnet-029,34,33,3,1,95,14,false,1
catnet,catnet-030,40,39,2,1,94,14,false,1
catnet,catnet-031,37,36,1,0,96,7,false,2
catnet,catnet-032,42,41,2,1,94,14,false,1
catnet,catnet-033,28,27,3,1,95,14,false,2
catnet,catnet-034,45,44,1,0,96,14,false,1
