Team,Sprint,Committed,Completed,Added,Removed,TeamAvailability,Duration,Spillover,Dependencies
oneplatform,oneplatform-001,48,38,16,4,90,14,true,4
oneplatform,oneplatform-002,35,26,18,3,86,7,true,3
oneplatform,oneplatform-003,52,42,19,5,88,14,true,5
oneplatform,oneplatform-004,27,20,14,2,91,14,true,2
oneplatform,oneplatform-005,42,32,20,4,85,14,true,4
oneplatform,oneplatform-006,45,36,17,5,89,7,true,4
oneplatform,oneplatform-007,38,29,15,3,87,14,true,3
oneplatform,oneplatform-008,50,40,18,4,91,14,true,5
oneplatform,oneplatform-009,32,24,12,2,88,14,true,2
oneplatform,oneplatform-010,44,35,19,5,86,7,true,4
oneplatform,oneplatform-011,46,37,16,4,90,14,true,4
oneplatform,oneplatform-012,28,21,13,2,87,14,true,3
oneplatform,oneplatform-013,53,43,20,5,85,14,true,5
oneplatform,oneplatform-014,36,28,17,3,89,14,true,3
oneplatform,oneplatform-015,40,31,15,4,88,7,true,4
oneplatform,oneplatform-016,49,39,18,5,91,14,true,4
oneplatform,oneplatform-017,29,22,11,2,86,14,true,2
oneplatform,oneplatform-018,43,34,19,4,87,14,true,4
oneplatform,oneplatform-019,44,35,17,3,90,14,true,3
oneplatform,oneplatform-020,51,41,20,5,88,7,true,5
oneplatform,oneplatform-021,37,29,14,3,85,14,true,3
oneplatform,oneplatform-022,41,32,16,4,89,14,true,4
oneplatform,oneplatform-023,47,38,18,5,91,14,true,4
oneplatform,oneplatform-024,30,23,12,2,87,14,true,2
oneplatform,oneplatform-025,42,33,17,4,86,7,true,4
oneplatform,oneplatform-026,55,45,19,5,89,14,true,5
oneplatform,oneplatform-027,33,25,13,2,88,14,true,3
oneplatform,oneplatform-028,45,36,20,4,90,14,true,4
oneplatform,oneplatform-029,38,29,15,3,86,14,true,3
