Team,Sprint,Committed,Completed,Added,Removed,TeamAvailability,Duration,Spillover,Dependencies
RDA (Rapid Damage Assessment),RDA-001,48,32,18,5,86,14,true,6
RDA (Rapid Damage Assessment),RDA-002,35,28,12,3,82,7,true,5
RDA (Rapid Damage Assessment),RDA-003,58,45,15,4,88,14,true,7
RDA (Rapid Damage Assessment),RDA-004,22,18,8,2,91,14,true,3
RDA (Rapid Damage Assessment),RDA-005,45,39,20,6,84,7,true,5
RDA (Rapid Damage Assessment),RDA-006,51,38,14,3,89,14,true,6
RDA (Rapid Damage Assessment),RDA-007,28,20,10,1,85,14,true,4
RDA (Rapid Damage Assessment),RDA-008,42,35,16,5,87,14,true,5
RDA (Rapid Damage Assessment),RDA-009,55,47,19,7,83,7,true,7
RDA (Rapid Damage Assessment),RDA-010,38,31,11,4,90,14,true,4
RDA (Rapid Damage Assessment),RDA-011,46,38,17,5,86,14,true,6
RDA (Rapid Damage Assessment),RDA-012,32,26,9,2,88,14,true,3
RDA (Rapid Damage Assessment),RDA-013,50,42,21,6,82,7,true,7
RDA (Rapid Damage Assessment),RDA-014,41,34,13,4,85,14,true,5
RDA (Rapid Damage Assessment),RDA-015,58,48,16,5,89,14,true,6
RDA (Rapid Damage Assessment),RDA-016,26,21,7,1,91,14,true,2
RDA (Rapid Damage Assessment),RDA-017,44,36,19,5,84,7,true,5
RDA (Rapid Damage Assessment),RDA-018,52,44,15,4,87,14,true,6
RDA (Rapid Damage Assessment),RDA-019,39,32,12,3,86,14,true,4
RDA (Rapid Damage Assessment),RDA-020,47,39,18,6,83,14,true,6
RDA (Rapid Damage Assessment),RDA-021,53,45,14,5,88,7,true,7
RDA (Rapid Damage Assessment),RDA-022,30,24,10,2,90,14,true,3
RDA (Rapid Damage Assessment),RDA-023,43,35,17,4,85,14,true,5
RDA (Rapid Damage Assessment),RDA-024,56,47,20,6,81,14,true,7
RDA (Rapid Damage Assessment),RDA-025,36,30,11,3,89,14,true,4
RDA (Rapid Damage Assessment),RDA-026,49,40,19,5,87,7,true,6
RDA (Rapid Damage Assessment),RDA-027,45,37,16,4,84,14,true,5
RDA (Rapid Damage Assessment),RDA-028,51,43,13,4,88,14,true,6
RDA (Rapid Damage Assessment),RDA-029,28,22,9,2,92,14,true,2
RDA (Rapid Damage Assessment),RDA-030,42,35,18,5,86,14,true,5
